Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,"Rating (Not recommended, OK, Great, Excellent)",Product Link Copy,Skin_Type_P,Skincare_Concerns_P,Fragrance_Free_P,Cleaned_Skin_Type,Cleaned_Skincare_Concerns
Normal,Aging,Yes,No fragrance,Mild,Not recommended,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Normal and Dry,"Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",False,"dry,normal","Aging, Dryness"
Normal,Aging,Yes,No fragrance,Severe,Not recommended,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Dryness, Dullness, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily","Aging, Dryness"
Normal,Aging,No,Don't care,Medium,Excellent,https://www.sephora.com/product/first-aid-beauty-ultra-repair-firming-collagen-cream-with-peptides-niacinamide-P468821?skuId=2417269&icid2=products grid:p468821:product,"Normal, Dry, and Combination","Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",True,"combination,dry,normal","Aging, Dryness"
Normal,Aging,Yes,Yes fragrance,Mild,Ok,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily",Aging
Normal,Aging,No,No fragrance,Mild,Not recommended,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,"Normal, Dry","Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",True,"dry,normal","Aging, Dryness"
Normal,Aging,No,Don't care,Mild,Ok,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Normal and Dry,"Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",False,"dry,normal","Aging, Dryness"
Normal,Aging,Yes,Yes fragrance,Medium,Ok,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Dryness, Dullness, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily","Aging, Dryness"
Normal,Dark Spots,No,Yes fragrance,Mild,Great,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,"Normal, Dry, Combination, and Oily","Pores, Dryness, and Dullness",,"combination,dry,normal,oily",Dryness
Normal,Dark Spots,No,Don't care,Medium,Excellent,https://www.sephora.com/product/c5-super-boost-vitamin-c-moisturizer-P501282?skuId=2533529&icid2=products grid:p501282:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Dullness, and Loss of Firmness and Elasticity",True,"combination,dry,normal,oily",Aging
Normal,Dark Spots,No,No fragrance,Mild,Great,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Normal and Dry,"Dark Spots, Dryness, and Dullness",False,"dry,normal","Dark Spots, Dryness"
Normal,Dark Spots,Yes,Yes fragrance,Mild,Ok,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,"Normal, Dry, Combination, and Oily","Pores, Dryness, and Dullness",,"combination,dry,normal,oily",Dryness
Normal,Dark Spots,Yes,Don't care,Severe,Great,https://www.sephora.com/product/c5-super-boost-vitamin-c-moisturizer-P501282?skuId=2533529&icid2=products grid:p501282:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Dullness, and Loss of Firmness and Elasticity",True,"combination,dry,normal,oily",Aging
Normal,Dark Spots,Yes,Yes fragrance,Medium,Ok,https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?skuId=2071751&icid2=products grid:p430337:product,"['combination', 'dry']","Dullness and uneven texture, Dryness, Fine lines and wrinkles",False,"combination,dry","Aging, Dryness"
Normal,Dark Spots,No,No fragrance,Medium,Great,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Normal and Dry,"Dark Spots, Dryness, and Dullness",False,"dry,normal","Dark Spots, Dryness"
Normal,Dryness,Yes,No fragrance,Medium,Not recommended,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2181006&icid2=products grid:p441101:product,Normal and Dry,"Dryness, Dullness, Fine Lines & Wrinkles",False,"dry,normal",Dryness
Normal,Dryness,No,Don't care,Severe,Ok,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2181006&icid2=products grid:p441101:product,Normal and Dry,"Dryness, Dullness, Fine Lines & Wrinkles",False,"dry,normal",Dryness
Normal,Dryness,Yes,Yes fragrance,Severe,Not recommended,https://www.sephora.com/product/belif-the-true-cream-aqua-bomb-with-hyaluronic-acid-niacinamide-P510117?skuId=2742674&icid2=products grid:p510117:product,"['oily', 'combination', 'dry', 'normal']",Dryness,False,"combination,dry,normal,oily",Dryness
Normal,Dryness,No,Don't care,Mild,Great,https://www.sephora.com/product/belif-the-true-cream-aqua-bomb-with-hyaluronic-acid-niacinamide-P510117?skuId=2742674&icid2=products grid:p510117:product,"['oily', 'combination', 'dry', 'normal']",Dryness,False,"combination,dry,normal,oily",Dryness
Normal,Dryness,Yes,No fragrance,Medium,Ok,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products grid:p421996:product,"Normal, Dry, Combination, and Oily",Dryness and Dullness,True,"combination,dry,normal,oily",Dryness
Normal,Dryness,No,Yes fragrance,Severe,Great,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=1217744&icid2=products grid:p248407:product,"Normal, Dry, and Combination","Dryness, Fine Lines and Wrinkles, and Redness",True,"combination,dry,normal","Aging, Dryness"
Normal,Dryness,No,No fragrance,Medium,Not recommended,https://www.sephora.com/product/belif-the-true-cream-aqua-bomb-with-hyaluronic-acid-niacinamide-P510117?skuId=2742674&icid2=products grid:p510117:product,"['oily', 'combination', 'dry', 'normal']",Dryness,False,"combination,dry,normal,oily",Dryness
Dry,Dryness,Yes,Yes fragrance,Medium,Great,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=1217744&icid2=products grid:p248407:product,"Normal, Dry, and Combination","Dryness, Fine Lines and Wrinkles, and Redness",True,"combination,dry,normal","Aging, Dryness"
Dry,Dryness,No,Yes fragrance,Severe,Ok,https://www.sephora.com/product/laneige-water-bank-blue-hyaluronic-cream-moisturizer-P482693?skuId=2735843&icid2=products grid:p482693:product,Normal and Dry,"Dryness, Dullness, and Loss of Firmness and Elasticity",True,"dry,normal","Aging, Dryness"
Dry,Dryness,Yes,No fragrance,Medium,Great,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=1217744&icid2=products grid:p248407:product,"Normal, Dry, and Combination","Dryness, Fine Lines and Wrinkles, and Redness",True,"combination,dry,normal","Aging, Dryness"
